Date,Open,High,Low,Close,Adj Close,Momentum,Average,Range,OHLC Price
2009-07-08,1.391692,1.393864,1.383509,1.387906,1.387906,0.003786,1.3886865,0.010355,1.38924275
2009-07-09,1.388041,1.406865,1.386001,1.4028,1.4028,-0.014759,1.396433,0.020864,1.39592675
2009-07-10,1.402466,1.402702,1.388291,1.393398,1.393398,0.009068,1.3954965,0.014411,1.39671425
2009-07-13,1.396902,1.40007,1.390337,1.399012,1.399012,-0.00211,1.3952035,0.009733,1.39658025
2009-07-14,1.398699,1.401542,1.39144,1.397155,1.397155,0.001544,1.396491,0.010102,1.397209
2009-07-15,1.397175,1.413208,1.396512,1.410199,1.410199,-0.013024,1.40486,0.016696,1.4042735
2009-07-16,1.410596,1.41611,1.405896,1.414107,1.414107,-0.003511,1.411003,0.010214,1.41167725
2009-07-17,1.414107,1.414667,1.406826,1.410497,1.410497,0.00361,1.4107465,0.007841,1.41152425
2009-07-20,1.422698,1.4229,1.421181,1.421181,1.421181,0.001517,1.4220405,0.001719,1.42199
2009-07-21,1.421767,1.421848,1.41985,1.41985,1.41985,0.001917,1.420849,0.001998,1.42082875
2009-07-22,1.420676,1.421141,1.420071,1.420596,1.420596,0.00008,1.420606,0.00107,1.420621
2009-07-23,1.41629,1.416993,1.41611,1.41633,1.41633,-0.00004,1.4165515,0.000883,1.41643075
2009-07-24,1.421202,1.421202,1.421202,1.421202,1.421202,0,1.421202,0,1.421202
2009-07-27,1.424258,1.424725,1.423143,1.424704,1.424704,-0.000446,1.423934,0.001582,1.4242075
2009-07-28,1.41633,1.416892,1.414267,1.414607,1.414607,0.001723,1.4155795,0.002625,1.415524
2009-07-29,1.402702,1.403509,1.401247,1.401463,1.401463,0.001239,1.402378,0.002262,1.40223025
2009-07-30,1.407598,1.408907,1.407202,1.40849,1.40849,-0.000892,1.4080545,0.001705,1.40804925
2009-07-31,1.426005,1.426005,1.426005,1.426005,1.426005,0,1.426005,0,1.426005
2009-08-03,1.441795,1.44219,1.441192,1.441192,1.441192,0.000603,1.441691,0.000998,1.44159225
2009-08-04,1.440009,1.442231,1.440009,1.441961,1.441961,-0.001952,1.44112,0.002222,1.4410525
2009-08-05,1.441899,1.442148,1.441109,1.441171,1.441171,0.000728,1.4416285,0.001039,1.44158175
2009-08-06,1.436183,1.437298,1.435791,1.437298,1.437298,-0.001115,1.4365445,0.001507,1.4366425
2009-08-07,1.419104,1.419104,1.419104,1.419104,1.419104,0,1.419104,0,1.419104
2009-08-10,1.413767,1.413767,1.412769,1.413108,1.413108,0.000659,1.413268,0.000998,1.41335275
2009-08-11,1.415488,1.415709,1.414907,1.415008,1.415008,0.00048,1.415308,0.000802,1.415278
2009-08-12,1.420334,1.422091,1.420334,1.421707,1.421707,-0.001373,1.4212125,0.001757,1.4211165
